pg_id,pg_name,full_address,locality,nearest_bus_stop,distance_to_bmsit_km,distance_to_bus_stop_km,nearest_metro,distance_to_metro_km,monthly_rent,security_deposit,additional_charges,room_type,furnishing_status,bathroom_type,wifi,food_included,ac,laundry,parking,locality_safety_rating,student_community_present,landlord_responsiveness_rating,food_rating,overall_student_rating,source,verification_link,local_image_path,google_place_id,google_maps_url,image_url,image_source,image_attribution,image_source_url
PG001,SVC Galaxy PG for Ladies,"Nagenahalli Main Rd, Opposite BMSIT College, Bengaluru",Nagenahalli,Yelahanka Police Station,0.3,0.8,Yelahanka Metro (Upcoming),8.8,9000,9000,Maintenance included,Triple,Fully Furnished,Attached,No,No,Yes,No,Yes,4.6,Yes,4.7,3.9,4.2,MagicBricks,https://www.google.com/maps/place/?q=place_id:ChIJX_xFZ14ZrjsRYip8tGp0Vno,/static/images/pg-listings/01-pg001-svc-galaxy-pg-for-ladies.jpg,ChIJX_xFZ14ZrjsRYip8tGp0Vno,https://www.google.com/maps/search/?api=1&query=SVC+Galaxy+PG+for+Ladies+Nagenahalli+Main+Rd%2C+Opposite+BMSIT+College%2C+Bengaluru&query_place_id=ChIJX_xFZ14ZrjsRYip8tGp0Vno,/static/images/pg-listings/01-pg001-svc-galaxy-pg-for-ladies.jpg,LoremFlickr,Downloaded via LoremFlickr no-key image source,
PG002,Study Home PG For Boys,"Doddaballapura Main Road, Near BMSIT, Bengaluru",Nagenahalli,Yelahanka NES Office,5.3,0.3,Yelahanka Metro (Upcoming),8.3,6500,6500,Maintenance included,Double,Fully Furnished,Shared,Yes,Yes,Yes,Yes,Yes,4.6,No,4.5,4.2,4.9,MagicBricks,https://www.google.com/maps/place/?q=place_id:ChIJtfxnr8kZrjsRfTC7U0nqWPE,/static/images/pg-listings/pg_PG002.JPG,ChIJtfxnr8kZrjsRfTC7U0nqWPE,https://www.google.com/maps/search/?api=1&query=Study+Home+PG+For+Boys+Doddaballapura+Main+Road%2C+Near+BMSIT%2C+Bengaluru&query_place_id=ChIJtfxnr8kZrjsRfTC7U0nqWPE,/static/images/pg-listings/02-pg002-study-home-pg-for-boys.jpg,LoremFlickr,Downloaded via LoremFlickr no-key image source,
PG003,Sri Rama PG for Boys,"Near BMSIT College, Nagenahalli, Bengaluru",Nagenahalli,Allalasandra Gate,2.4,0.3,Yelahanka Metro (Upcoming),4.4,11000,11000,Electricity + WiFi extra,Dormitory,Semi Furnished,Shared,No,No,No,Yes,Yes,3.9,No,3.9,4.2,4.9,Google Maps,https://maps.google.com/?q=Sri+Rama+PG+for+Boys+Nagenahalli+BMSIT+Bengaluru,/static/images/pg-listings/03-pg003-sri-rama-pg-for-boys.jpg,,https://www.google.com/maps/search/?api=1&query=Sri+Rama+PG+for+Boys+Near+BMSIT+College%2C+Nagenahalli%2C+Bengaluru,/static/images/pg-listings/03-pg003-sri-rama-pg-for-boys.jpg,LoremFlickr,Downloaded via LoremFlickr no-key image source,
PG004,Happy Homes PG for Boys,"Avalahalli Main Road, Bengaluru",Avalahalli,Aradeshanahalli,4.6,0.7,Yelahanka Metro (Upcoming),4.5,11000,11000,Electricity + WiFi extra,Triple,Fully Furnished,Shared,No,Yes,No,No,Yes,4.4,No,3.6,3.9,4.6,Google Maps,https://www.google.com/maps/place/?q=place_id:ChIJ8e07egAZrjsRcsALT4a1Mv4,/static/images/pg-listings/04-pg004-happy-homes-pg-for-boys.jpg,ChIJ8e07egAZrjsRcsALT4a1Mv4,https://www.google.com/maps/search/?api=1&query=Happy+Homes+PG+for+Boys+Avalahalli+Main+Road%2C+Bengaluru&query_place_id=ChIJ8e07egAZrjsRcsALT4a1Mv4,/static/images/pg-listings/04-pg004-happy-homes-pg-for-boys.jpg,LoremFlickr,Downloaded via LoremFlickr no-key image source,
PG005,Maa Anjani Ladies PG,"Yelahanka New Town, Bengaluru",Yelahanka New Town,Allalasandra Gate,5.9,0.1,Yelahanka Metro (Upcoming),7.2,7500,7500,Electricity extra,Triple,Fully Furnished,Attached,Yes,No,No,No,No,4.6,Yes,4.8,4.0,4.9,JustDial,https://www.google.com/maps/place/?q=place_id:ChIJfcIbOP4ZrjsRUuCJjdMlAuw,/static/images/pg-listings/05-pg005-maa-anjani-ladies-pg.jpg,ChIJfcIbOP4ZrjsRUuCJjdMlAuw,https://www.google.com/maps/search/?api=1&query=Maa+Anjani+Ladies+PG+Yelahanka+New+Town%2C+Bengaluru&query_place_id=ChIJfcIbOP4ZrjsRUuCJjdMlAuw,/static/images/pg-listings/05-pg005-maa-anjani-ladies-pg.jpg,LoremFlickr,Downloaded via LoremFlickr no-key image source,
PG006,Gangotri Boys PG,"Gantiganahalli, Bengaluru",Gantiganahalli,Rajanukunte,0.6,0.3,Yelahanka Metro (Upcoming),9.5,8500,8500,Maintenance included,Single,Semi Furnished,Shared,Yes,No,No,No,No,4.2,Yes,4.7,4.0,4.0,Google Maps,https://www.google.com/maps/place/?q=place_id:ChIJkWRe8YAZrjsR7Fl8EKTIWEw,/static/images/pg-listings/06-pg006-gangotri-boys-pg.jpg,ChIJkWRe8YAZrjsR7Fl8EKTIWEw,https://www.google.com/maps/search/?api=1&query=Gangotri+Boys+PG+Gantiganahalli%2C+Bengaluru&query_place_id=ChIJkWRe8YAZrjsR7Fl8EKTIWEw,/static/images/pg-listings/06-pg006-gangotri-boys-pg.jpg,LoremFlickr,Downloaded via LoremFlickr no-key image source,
PG007,SR Professional PG for Gents,"Vinayak Nagar, Yelahanka, Bengaluru",Yelahanka,Escorts Yelahanka Road,0.7,0.3,Yelahanka Metro (Upcoming),9.1,8000,8000,No additional charges,Double,Fully Furnished,Shared,No,Yes,No,Yes,Yes,4.3,No,4.5,4.5,4.8,NoBroker,https://www.google.com/maps/place/?q=place_id:ChIJ9Ut3EgAZrjsRCfvMmxM5poY,/static/images/pg-listings/pg_PG007.jpg,ChIJ9Ut3EgAZrjsRCfvMmxM5poY,https://www.google.com/maps/search/?api=1&query=SR+Professional+PG+for+Gents+Vinayak+Nagar%2C+Yelahanka%2C+Bengaluru&query_place_id=ChIJ9Ut3EgAZrjsRCfvMmxM5poY,/static/images/pg-listings/07-pg007-sr-professional-pg-for-gents.jpg,LoremFlickr,Downloaded via LoremFlickr no-key image source,
PG008,KALASH HAPPY STAY LADIES PG,"Sharadhanagar, Yelahanka, Bengaluru",Yelahanka,Nagenahalli Gate,3.1,0.8,Yelahanka Metro (Upcoming),5.8,11000,11000,Maintenance included,Double,Fully Furnished,Shared,No,Yes,Yes,Yes,Yes,4.0,Yes,4.0,3.6,4.7,MagicBricks,https://www.google.com/maps/place/?q=place_id:ChIJmdGTtF8ZrjsRjJsSPLJcMYY,/static/images/pg-listings/08-pg008-kalash-happy-stay-ladies-pg.jpg,ChIJmdGTtF8ZrjsRjJsSPLJcMYY,https://www.google.com/maps/search/?api=1&query=KALASH+HAPPY+STAY+LADIES+PG+Sharadhanagar%2C+Yelahanka%2C+Bengaluru&query_place_id=ChIJmdGTtF8ZrjsRjJsSPLJcMYY,/static/images/pg-listings/08-pg008-kalash-happy-stay-ladies-pg.jpg,Openverse/flickr,"""Creative Corner Workspace"" by Piersey is licensed under CC BY 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by/2.0/.",https://www.flickr.com/photos/201676878@N03/54588443993
PG009,Sky Luxury PG For Gents,"Bagalur Cross, Bengaluru",Bagalur Cross,Honnenahalli,0.2,0.5,Yelahanka Metro (Upcoming),7.0,11000,11000,Maintenance included,Dormitory,Semi Furnished,Shared,No,Yes,Yes,Yes,Yes,3.9,Yes,4.0,4.5,4.0,NoBroker,https://www.google.com/maps/place/?q=place_id:ChIJ0Yy9R3YZrjsR1pY_b35rI_M,/static/images/pg-listings/09-pg009-sky-luxury-pg-for-gents.jpg,ChIJ0Yy9R3YZrjsR1pY_b35rI_M,https://www.google.com/maps/search/?api=1&query=Sky+Luxury+PG+For+Gents+Bagalur+Cross%2C+Bengaluru&query_place_id=ChIJ0Yy9R3YZrjsR1pY_b35rI_M,/static/images/pg-listings/09-pg009-sky-luxury-pg-for-gents.jpg,LoremFlickr,Downloaded via LoremFlickr no-key image source,
PG010,PRSC Trust Boys Hostel,"Chikka Bommasandra, Bengaluru",Chikka Bommasandra,Singanayakanahalli,5.7,0.6,Yelahanka Metro (Upcoming),4.4,7000,7000,Electricity extra,Dormitory,Semi Furnished,Shared,Yes,Yes,Yes,No,No,4.4,Yes,4.0,3.6,4.5,JustDial,https://www.google.com/maps/place/?q=place_id:ChIJga7hcigYrjsRyjeCoBj5wEc,/static/images/pg-listings/10-pg010-prsc-trust-boys-hostel.jpg,ChIJga7hcigYrjsRyjeCoBj5wEc,https://www.google.com/maps/search/?api=1&query=PRSC+Trust+Boys+Hostel+Chikka+Bommasandra%2C+Bengaluru&query_place_id=ChIJga7hcigYrjsRyjeCoBj5wEc,/static/images/pg-listings/10-pg010-prsc-trust-boys-hostel.jpg,LoremFlickr,Downloaded via LoremFlickr no-key image source,
