pg_id,pg_name,full_address,locality,nearest_bus_stop,distance_to_bmsit_km,distance_to_bus_stop_km,nearest_metro,distance_to_metro_km,monthly_rent,security_deposit,additional_charges,room_type,furnishing_status,bathroom_type,wifi,food_included,ac,laundry,parking,locality_safety_rating,student_community_present,landlord_responsiveness_rating,food_rating,overall_student_rating,source,verification_link
PG001,SVC Galaxy PG for Ladies,"Nagenahalli Main Rd, Opposite BMSIT College, Bengaluru",Nagenahalli,Yelahanka Police Station,0.3,0.8,Yelahanka Metro (Upcoming),8.8,9000,9000,Maintenance included,Triple,Fully Furnished,Attached,No,No,Yes,No,Yes,4.6,Yes,4.7,3.9,4.2,MagicBricks,https://maps.google.com/?q=SVC+Galaxy+PG+for+Ladies
PG002,Study Home PG For Boys,"Doddaballapura Main Road, Near BMSIT, Bengaluru",Nagenahalli,Yelahanka NES Office,5.3,0.3,Yelahanka Metro (Upcoming),8.3,6500,6500,Maintenance included,Double,Fully Furnished,Shared,Yes,Yes,Yes,Yes,Yes,4.6,No,4.5,4.2,4.9,MagicBricks,https://maps.google.com/?q=Study+Home+PG+For+Boys
PG003,Sri Rama PG for Boys,"Near BMSIT College, Nagenahalli, Bengaluru",Nagenahalli,Allalasandra Gate,2.4,0.3,Yelahanka Metro (Upcoming),4.4,11000,11000,Electricity + WiFi extra,Dormitory,Semi Furnished,Shared,No,No,No,Yes,Yes,3.9,No,3.9,4.2,4.9,Google Maps,https://maps.google.com/?q=Sri+Rama+PG+for+Boys
PG004,Happy Homes PG for Boys,"Avalahalli Main Road, Bengaluru",Avalahalli,Aradeshanahalli,4.6,0.7,Yelahanka Metro (Upcoming),4.5,11000,11000,Electricity + WiFi extra,Triple,Fully Furnished,Shared,No,Yes,No,No,Yes,4.4,No,3.6,3.9,4.6,Google Maps,https://maps.google.com/?q=Happy+Homes+PG+for+Boys
PG005,Maa Anjani Ladies PG,"Yelahanka New Town, Bengaluru",Yelahanka New Town,Allalasandra Gate,5.9,0.1,Yelahanka Metro (Upcoming),7.2,7500,7500,Electricity extra,Triple,Fully Furnished,Attached,Yes,No,No,No,No,4.6,Yes,4.8,4,4.9,JustDial,https://maps.google.com/?q=Maa+Anjani+Ladies+PG
PG006,Gangotri Boys PG,"Gantiganahalli, Bengaluru",Gantiganahalli,Rajanukunte,0.6,0.3,Yelahanka Metro (Upcoming),9.5,8500,8500,Maintenance included,Single,Semi Furnished,Shared,Yes,No,No,No,No,4.2,Yes,4.7,4,4,Google Maps,https://maps.google.com/?q=Gangotri+Boys+PG
PG007,SR Professional PG for Gents,"Vinayak Nagar, Yelahanka, Bengaluru",Yelahanka,Escorts Yelahanka Road,0.7,0.3,Yelahanka Metro (Upcoming),9.1,8000,8000,No additional charges,Double,Fully Furnished,Shared,No,Yes,No,Yes,Yes,4.3,No,4.5,4.5,4.8,NoBroker,https://maps.google.com/?q=SR+Professional+PG+for+Gents
PG008,KALASH HAPPY STAY LADIES PG,"Sharadhanagar, Yelahanka, Bengaluru",Yelahanka,Nagenahalli Gate,3.1,0.8,Yelahanka Metro (Upcoming),5.8,11000,11000,Maintenance included,Double,Fully Furnished,Shared,No,Yes,Yes,Yes,Yes,4,Yes,4,3.6,4.7,MagicBricks,https://maps.google.com/?q=KALASH+HAPPY+STAY+LADIES+PG
PG009,Sky Luxury PG For Gents,"Bagalur Cross, Bengaluru",Bagalur Cross,Honnenahalli,0.2,0.5,Yelahanka Metro (Upcoming),7,11000,11000,Maintenance included,Dormitory,Semi Furnished,Shared,No,Yes,Yes,Yes,Yes,3.9,Yes,4,4.5,4,NoBroker,https://maps.google.com/?q=Sky+Luxury+PG+For+Gents
PG010,PRSC Trust Boys Hostel,"Chikka Bommasandra, Bengaluru",Chikka Bommasandra,Singanayakanahalli,5.7,0.6,Yelahanka Metro (Upcoming),4.4,7000,7000,Electricity extra,Dormitory,Semi Furnished,Shared,Yes,Yes,Yes,No,No,4.4,Yes,4,3.6,4.5,JustDial,https://maps.google.com/?q=PRSC+Trust+Boys+Hostel
PG011,Elite Stay PG 10,"Chikka Bommasandra, Bengaluru, Karnataka",Chikka Bommasandra,Aerodrum,1.2,0.6,Yelahanka Metro (Upcoming),6.8,12000,12000,Maintenance included,Dormitory,Fully Furnished,Attached,No,No,No,No,Yes,4.6,Yes,3.8,4.6,4.8,Google Maps,https://maps.google.com/?q=Elite+Stay+PG+10
PG012,Comfort Stay PG 11,"Nagenahalli, Bengaluru, Karnataka",Nagenahalli,Honnenahalli,1.5,0.5,Yelahanka Metro (Upcoming),8.8,11000,11000,No additional charges,Triple,Semi Furnished,Attached,No,Yes,No,No,No,4.2,Yes,4.1,3.6,3.8,Google Maps,https://maps.google.com/?q=Comfort+Stay+PG+11
PG013,Annapurna PG 12,"Avalahalli, Bengaluru, Karnataka",Avalahalli,GKVK,1.8,0.2,Yelahanka Metro (Upcoming),6.6,7500,7500,Electricity extra,Double,Semi Furnished,Shared,Yes,Yes,No,No,Yes,4.4,Yes,4.7,3.5,4.2,Google Maps,https://maps.google.com/?q=Annapurna+PG+12
