"pg_id","pg_name","full_address","locality","nearest_bus_stop","distance_to_bmsit_km","distance_to_bus_stop_km","nearest_metro","distance_to_metro_km","monthly_rent","security_deposit","additional_charges","room_type","furnishing_status","bathroom_type","wifi","food_included","ac","laundry","parking","locality_safety_rating","student_community_present","landlord_responsiveness_rating","food_rating","overall_student_rating","source","verification_link","local_image_path","google_place_id","google_maps_url","image_url","image_source","image_attribution"
"PG001","SVC Galaxy PG for Ladies","Nagenahalli Main Rd, Opposite BMSIT College, Bengaluru","Nagenahalli","Yelahanka Police Station","0.3","0.8","Yelahanka Metro (Upcoming)","8.8","9000","9000","Maintenance included","Triple","Fully Furnished","Attached","No","No","Yes","No","Yes","4.6","Yes","4.7","3.9","4.2","MagicBricks","https://www.google.com/maps/place/?q=place_id:ChIJX_xFZ14ZrjsRYip8tGp0Vno","/static/images/triple.png","ChIJX_xFZ14ZrjsRYip8tGp0Vno","https://www.google.com/maps/search/?api=1&query=SVC%20Galaxy%20PG%20for%20Ladies%20Nagenahalli%20Main%20Rd%2C%20Opposite%20BMSIT%20College%2C%20Bengaluru&query_place_id=ChIJX_xFZ14ZrjsRYip8tGp0Vno","/api/place-photo/ChIJX_xFZ14ZrjsRYip8tGp0Vno","Google Places API","See Google Places photo attribution response"
"PG002","Study Home PG For Boys","Doddaballapura Main Road, Near BMSIT, Bengaluru","Nagenahalli","Yelahanka NES Office","5.3","0.3","Yelahanka Metro (Upcoming)","8.3","6500","6500","Maintenance included","Double","Fully Furnished","Shared","Yes","Yes","Yes","Yes","Yes","4.6","No","4.5","4.2","4.9","MagicBricks","https://www.google.com/maps/place/?q=place_id:ChIJtfxnr8kZrjsRfTC7U0nqWPE","/static/images/double.png","ChIJtfxnr8kZrjsRfTC7U0nqWPE","https://www.google.com/maps/search/?api=1&query=Study%20Home%20PG%20For%20Boys%20Doddaballapura%20Main%20Road%2C%20Near%20BMSIT%2C%20Bengaluru&query_place_id=ChIJtfxnr8kZrjsRfTC7U0nqWPE","/api/place-photo/ChIJtfxnr8kZrjsRfTC7U0nqWPE","Google Places API","See Google Places photo attribution response"
"PG003","Sri Rama PG for Boys","Near BMSIT College, Nagenahalli, Bengaluru","Nagenahalli","Allalasandra Gate","2.4","0.3","Yelahanka Metro (Upcoming)","4.4","11000","11000","Electricity + WiFi extra","Dormitory","Semi Furnished","Shared","No","No","No","Yes","Yes","3.9","No","3.9","4.2","4.9","Google Maps","https://maps.google.com/?q=Sri+Rama+PG+for+Boys+Nagenahalli+BMSIT+Bengaluru","/static/images/double.png","","https://www.google.com/maps/search/?api=1&query=Sri%20Rama%20PG%20for%20Boys%20Near%20BMSIT%20College%2C%20Nagenahalli%2C%20Bengaluru","/static/images/double.png","Local fallback",""
"PG004","Happy Homes PG for Boys","Avalahalli Main Road, Bengaluru","Avalahalli","Aradeshanahalli","4.6","0.7","Yelahanka Metro (Upcoming)","4.5","11000","11000","Electricity + WiFi extra","Triple","Fully Furnished","Shared","No","Yes","No","No","Yes","4.4","No","3.6","3.9","4.6","Google Maps","https://www.google.com/maps/place/?q=place_id:ChIJ8e07egAZrjsRcsALT4a1Mv4","/static/images/triple.png","ChIJ8e07egAZrjsRcsALT4a1Mv4","https://www.google.com/maps/search/?api=1&query=Happy%20Homes%20PG%20for%20Boys%20Avalahalli%20Main%20Road%2C%20Bengaluru&query_place_id=ChIJ8e07egAZrjsRcsALT4a1Mv4","/api/place-photo/ChIJ8e07egAZrjsRcsALT4a1Mv4","Google Places API","See Google Places photo attribution response"
"PG005","Maa Anjani Ladies PG","Yelahanka New Town, Bengaluru","Yelahanka New Town","Allalasandra Gate","5.9","0.1","Yelahanka Metro (Upcoming)","7.2","7500","7500","Electricity extra","Triple","Fully Furnished","Attached","Yes","No","No","No","No","4.6","Yes","4.8","4.0","4.9","JustDial","https://www.google.com/maps/place/?q=place_id:ChIJfcIbOP4ZrjsRUuCJjdMlAuw","/static/images/triple.png","ChIJfcIbOP4ZrjsRUuCJjdMlAuw","https://www.google.com/maps/search/?api=1&query=Maa%20Anjani%20Ladies%20PG%20Yelahanka%20New%20Town%2C%20Bengaluru&query_place_id=ChIJfcIbOP4ZrjsRUuCJjdMlAuw","/api/place-photo/ChIJfcIbOP4ZrjsRUuCJjdMlAuw","Google Places API","See Google Places photo attribution response"
"PG006","Gangotri Boys PG","Gantiganahalli, Bengaluru","Gantiganahalli","Rajanukunte","0.6","0.3","Yelahanka Metro (Upcoming)","9.5","8500","8500","Maintenance included","Single","Semi Furnished","Shared","Yes","No","No","No","No","4.2","Yes","4.7","4.0","4.0","Google Maps","https://www.google.com/maps/place/?q=place_id:ChIJkWRe8YAZrjsR7Fl8EKTIWEw","/static/images/single.png","ChIJkWRe8YAZrjsR7Fl8EKTIWEw","https://www.google.com/maps/search/?api=1&query=Gangotri%20Boys%20PG%20Gantiganahalli%2C%20Bengaluru&query_place_id=ChIJkWRe8YAZrjsR7Fl8EKTIWEw","/api/place-photo/ChIJkWRe8YAZrjsR7Fl8EKTIWEw","Google Places API","See Google Places photo attribution response"
"PG007","SR Professional PG for Gents","Vinayak Nagar, Yelahanka, Bengaluru","Yelahanka","Escorts Yelahanka Road","0.7","0.3","Yelahanka Metro (Upcoming)","9.1","8000","8000","No additional charges","Double","Fully Furnished","Shared","No","Yes","No","Yes","Yes","4.3","No","4.5","4.5","4.8","NoBroker","https://www.google.com/maps/place/?q=place_id:ChIJ9Ut3EgAZrjsRCfvMmxM5poY","/static/images/double.png","ChIJ9Ut3EgAZrjsRCfvMmxM5poY","https://www.google.com/maps/search/?api=1&query=SR%20Professional%20PG%20for%20Gents%20Vinayak%20Nagar%2C%20Yelahanka%2C%20Bengaluru&query_place_id=ChIJ9Ut3EgAZrjsRCfvMmxM5poY","/api/place-photo/ChIJ9Ut3EgAZrjsRCfvMmxM5poY","Google Places API","See Google Places photo attribution response"
"PG008","KALASH HAPPY STAY LADIES PG","Sharadhanagar, Yelahanka, Bengaluru","Yelahanka","Nagenahalli Gate","3.1","0.8","Yelahanka Metro (Upcoming)","5.8","11000","11000","Maintenance included","Double","Fully Furnished","Shared","No","Yes","Yes","Yes","Yes","4.0","Yes","4.0","3.6","4.7","MagicBricks","https://www.google.com/maps/place/?q=place_id:ChIJmdGTtF8ZrjsRjJsSPLJcMYY","/static/images/double.png","ChIJmdGTtF8ZrjsRjJsSPLJcMYY","https://www.google.com/maps/search/?api=1&query=KALASH%20HAPPY%20STAY%20LADIES%20PG%20Sharadhanagar%2C%20Yelahanka%2C%20Bengaluru&query_place_id=ChIJmdGTtF8ZrjsRjJsSPLJcMYY","/api/place-photo/ChIJmdGTtF8ZrjsRjJsSPLJcMYY","Google Places API","See Google Places photo attribution response"
"PG009","Sky Luxury PG For Gents","Bagalur Cross, Bengaluru","Bagalur Cross","Honnenahalli","0.2","0.5","Yelahanka Metro (Upcoming)","7.0","11000","11000","Maintenance included","Dormitory","Semi Furnished","Shared","No","Yes","Yes","Yes","Yes","3.9","Yes","4.0","4.5","4.0","NoBroker","https://www.google.com/maps/place/?q=place_id:ChIJ0Yy9R3YZrjsR1pY_b35rI_M","/static/images/double.png","ChIJ0Yy9R3YZrjsR1pY_b35rI_M","https://www.google.com/maps/search/?api=1&query=Sky%20Luxury%20PG%20For%20Gents%20Bagalur%20Cross%2C%20Bengaluru&query_place_id=ChIJ0Yy9R3YZrjsR1pY_b35rI_M","/api/place-photo/ChIJ0Yy9R3YZrjsR1pY_b35rI_M","Google Places API","See Google Places photo attribution response"
"PG010","PRSC Trust Boys Hostel","Chikka Bommasandra, Bengaluru","Chikka Bommasandra","Singanayakanahalli","5.7","0.6","Yelahanka Metro (Upcoming)","4.4","7000","7000","Electricity extra","Dormitory","Semi Furnished","Shared","Yes","Yes","Yes","No","No","4.4","Yes","4.0","3.6","4.5","JustDial","https://www.google.com/maps/place/?q=place_id:ChIJga7hcigYrjsRyjeCoBj5wEc","/static/images/double.png","ChIJga7hcigYrjsRyjeCoBj5wEc","https://www.google.com/maps/search/?api=1&query=PRSC%20Trust%20Boys%20Hostel%20Chikka%20Bommasandra%2C%20Bengaluru&query_place_id=ChIJga7hcigYrjsRyjeCoBj5wEc","/api/place-photo/ChIJga7hcigYrjsRyjeCoBj5wEc","Google Places API","See Google Places photo attribution response"
